searchTerms,title,snippet,link,rank
flights to macau,Cheap Flights to Macau - Search Deals on Airfare to Macau from ...,"Looking for cheap flights to Macau from your destination? Search for airfare and 
flight ticket deals at cheapflights.com and book your next flight today.",https://www.cheapflights.com/flights-to-macau/,4
flights to macau,Direct flights from Macau (MFM),"This direct flight takes around 4 hours and 30 minutes and is operated by Air 
Macau. Airlines flying from Macau. In total there are 28 airlines flying from and to
 ...",https://www.flightconnections.com/flights-from-macau-mfm,5
flights to macau,Cheap Flights to Macau Airport (MFM) from £468 Return | Macau ...,"Flights to Macau. We compare all major airlines and travel agents for cheap 
Macau flights. Search and Save now at Skyscanner.net.",https://www.skyscanner.net/flights-to/mfm/cheap-flights-to-macau-airport.html,6
flights to macau,Macau International Airport - Wikipedia,"Passenger[edit]. All flights between Macau and Taiwan region all suspended due 
to immigration policy. Airlines, Destinations. AirAsia ...",https://en.wikipedia.org/wiki/Macau_International_Airport,7
flights to macau,Cheap flights to Macau | From $253 | 2020 flights | Skyscanner,"Did you mean flights from Macau? Situated at the eastern end of Taipa Island, 
Macau International Airport made it easier to fly to the area from Taiwan to other ...",https://www.skyscanner.com.au/flights-to/mfm/cheap-flights-to-macau-airport.html,8
flights to macau, Flights to Macau (MFM) | EVA Air,"Looking for Best Fare Flights to Macau? Book EVA Air's Deals and Fly with a 5-
Star Airline Certified by SKYTRAX ✈️ Start Your Ultimate Macau Adventure!",https://flights.evaair.com/en/flights-to-macau,9
flights to macau,"Cheap flights to Macau from P1,382! Cheap Macau Flights ...","Flexible on when you fly to Macau? Use the month view tool to find the cheapest 
flights to Macau or set a price alert to book when Macau flight ticket prices drop!",https://www.skyscanner.com.ph/flights-to/mfm/cheap-flights-to-macau-airport.html,10
flights to dubai,"$179 Flights to Dubai, United Arab Emirates (DXB) - Tripadvisor","Book Cheap Flights to Dubai: Search and compare airfares on Tripadvisor to find 
the best flights for your trip to Dubai. Choose the best airline for you by reading ...",https://www.tripadvisor.com/Flights-g295424-Dubai_Emirate_of_Dubai-Cheap_Discount_Airfares.html,1
flights to dubai,"Cheap Flights to Dubai, United Arab Emirates in 2020 | Expedia","Expedia.com lets you search across the largest number of airlines and Dubai 
flights, which means that you'll be able to find a great flight deal at the perfect 
travel ...",https://www.expedia.com/Cheap-Flights-To-Dubai.d1079.Travel-Guide-Flights,2
flights to dubai,Flights to Dubai (DXB) | Find and book flights to Dubai | Emirates ...,"Book a flight to Dubai today. Free Wi-Fi, comfortable seats, and award-winning 
entertainment—all part of the Emirates experience. - Emirates United States.",https://www.emirates.com/us/english/destinations/flights-to-dubai.aspx,3
flights to dubai,$545 Cheap Flights to Dubai in 2020 | Skyscanner,"Find cheap flights to Dubai (DXB) in 2019 using Skyscanner's flight comparison 
tool. We compare all major airlines and travel agents for flights to Dubai with no ...",https://www.skyscanner.com/flights-to/dxb/cheap-flights-to-dubai-airport.html,4
flights to dubai,"Cheap Flights to Dubai, United Arab Emirates - Search Deals on ...","Find cheap flights to Dubai from $556. Search and compare the best real-time 
prices for your round-trip, one-way, or last-minute flight to Dubai.",https://www.cheapflights.com/flights-to-dubai/,5
flights to dubai,Cheap Flights to Dubai (DXB) from $597 - KAYAK,"Enter your preferred departure airport and travel dates into the search form above 
to unlock the latest Dubai flight deals. If you are booking flights to Dubai, you will
 ...",https://www.kayak.com/flight-routes/United-States-US0/Dubai-International-other-airports-DXB,6
flights to dubai,Cheap Flights to Dubai Airport (DXB) from £274 Return | Dubai ...,"Find the cheapest flights to Dubai with Skyscanner. Skyscanner compares prices 
for Dubai flights from over 600 airlines & travel agents.",https://www.skyscanner.net/flights-to/dxb/cheap-flights-to-dubai-airport.html,7
flights to dubai,Cheap Flights To Dubai | CheapOair,"Cheap Flights to Dubai (DXB) starting at round trip. Search hundreds of airlines 
for cheap tickets to Dubai, United Arab Emirates! Book your flight today!",https://www.cheapoair.com/flights/cheap-flights-to-dubai-dxb-united-arab-emirates,8
flights to dubai,Flights to Dubai - Get United's Best Fares Today - United Airlines,"Find flights to Dubai with United. Discover a modern travel experience featuring 
premium cabins and speedy Wi-Fi.",https://www.united.com/en-us/flights-to-dubai,9
flights to dubai,Cheap Flights to Dubai (DXB) from £128 - KAYAK,"Find flights to Dubai on Wizz Air, Gulf Air, Turkish Airlines and more. Fly return 
from London from £128, from Birmingham from £140. Search for Dubai flights on
 ...",https://www.kayak.co.uk/flight-routes/United-Kingdom-GB0/Dubai-Intl-DXB,10
flights to paris,"Cheap Flights to Paris, Ile-de-France in 2020 | Expedia","Looking for cheap flights to Paris from airlines such as American Airlines, Delta, 
United, JetBlue, Frontier, and more? Compare prices on Expedia to get the best ...",https://www.expedia.com/Cheap-Flights-To-Paris.d179898.Travel-Guide-Flights,1
flights to paris,"$73 Flights to Paris, France (PAR) - Tripadvisor","Book Cheap Flights to Paris: Search and compare airfares on Tripadvisor to find 
the best flights for your trip to Paris. Choose the best airline for you by reading ...",https://www.tripadvisor.com/Flights-g187147-Paris_Ile_de_France-Cheap_Discount_Airfares.html,2
flights to paris,"Cheap Flights to Paris, France - Search Deals on Airfare to Paris ...","Looking for cheap flights to Paris, France from your destination? Search for 
airfare and flight ticket deals at cheapflights.com and book your next flight today.",https://www.cheapflights.com/flights-to-paris/,3
flights to paris,Cheap Paris Flights as Low as $90 | Travelocity,"Searching for flights to Paris? As COVID-19 disrupts travel, a few airlines are 
offering WAIVING CHANGE FEE for new bookings.",https://www.travelocity.com/Cheap-Flights-To-Paris.d179898.Travel-Guide-Flights,4
flights to paris,Cheap Flights to Paris (PAR) from $193 - KAYAK,"Find flights to Paris on French Bee, TAP AIR PORTUGAL, Corsair and more. Fly 
round-trip from Newark from $193, from New York from $213. Search for Paris ...",https://www.kayak.com/flight-routes/United-States-US0/Paris-PAR,5
flights to paris,Flight to Paris - Cheap flights to France | Air France USA,"Paris is often called a museum city. Many historical buildings such as the Louvre 
Museum, the Eiffel Tower and the Arc de Triomphe attract several million tourists
 ...",https://www.airfrance.us/US/en/local/destinations/flight-paris.htm,6
flights to paris,$190 Cheap Flights to Paris in 2020 | Skyscanner,"A majority of flights to Paris land at Charles de Gaulle Airport (CDG), also known 
as the Roissy by locals. Once there, most visitors want to see the Eiffel Tower or ...",https://www.skyscanner.com/flights-to/pari/cheap-flights-to-paris.html,7
flights to paris,"Cheap Flights to Paris, (PAR) Flight Tickets | CheapOair","Grab cheap flights to Paris (PAR) on CheapOair. Search hundreds of airlines for 
the cheapest tickets to Paris, France . Use promo codes at checkout and save ...",https://www.cheapoair.com/flights/cheap-flights-to-paris-par-france,8
flights to paris,"Cheap Flights to Paris, France : Best Fare Guarantee on Tickets : Delta","Experience excitement in the City of Lights with a Delta flight to Paris. Climb the 
Eiffel tower, explore museums and sample local Parisian cafes.",https://www.delta.com/us/en/flight-deals/europe-flights/flights-to-paris,9
flights to paris,$91+ Flights to Paris (CDG) | Orbitz,"Search cheap flights to Paris (CDG) today with Orbitz. Flights start at just $91. 
Book now!",https://www.orbitz.com/Cheap-Flights-To-Paris.d179898.Travel-Guide-Flights,10
flights to new york city,"$22 Flights to New York City, New York (NYC) - Tripadvisor","Book Cheap Flights to New York City: Search and compare airfares on 
Tripadvisor to find the best flights for your trip to New York City. Choose the best 
airline for ...",https://www.tripadvisor.com/Flights-g60763-New_York_City_New_York-Cheap_Discount_Airfares.html,1
flights to new york city,"$26 - Cheap Flights to New York, New York in 2020 | Expedia","JFK airport also relies on the AirTrain, and LaGuardia Airport offers the NYC 
Airporter shuttle. Several MTA New York City buses have routes to JFK and 
LaGuardia ...",https://www.expedia.com/Cheap-Flights-To-New-York.d178293.Travel-Guide-Flights,2
flights to new york city,"Cheap Flights to New York, New York (NY) - Search Deals on ...","Find cheap flights to New York from $22. Search and compare the best real-time 
prices for your round-trip, one-way, or last-minute flight to New York.",https://www.cheapflights.com/flights-to-new-york/,3
flights to new york city,Cheap Flights to New York (NYC) from $24 - KAYAK,"For flights to New York, there are two main options directly in NYC; namely, 
LaGuardia Airport (LGA) and JFK International Airport (JFK). LaGuardia acts 
primarily ...",https://www.kayak.com/flight-routes/United-States-US0/New-York-NYC,4
flights to new york city,Flights,"Prices are not available for: Southwest. Flights with unavailable prices are at the 
end of the list. 8:50 AM. LAX. 9:36 PM. LGA. 1 stop in DFW. 9h 46m. Delta.",https://www.google.com/flights/flights-from-los-angeles-to-new-york.html,5
flights to new york city,Cheap New York Flights as Low as $14 | Travelocity,"Searching for flights to New York? ... New York, NY Airport (JFK-John F. Kennedy 
Intl.) is 12 miles (20 kilometers) from the sights and sounds of downtown, while ...",https://www.travelocity.com/Cheap-Flights-To-New-York.d178293.Travel-Guide-Flights,6
flights to new york city,$23 Cheap Flights to New York in 2020 | Skyscanner,"Search cheap flights to New York with American, United, Delta, Southwest, 
JetBlue and more! Set price alerts to book flights to NYC at the lowest price.",https://www.skyscanner.com/flights-to/nyca/cheap-flights-to-new-york.html,7
flights to new york city,"Cheap Flights to New York City, NYC Flights","Book cheap flights to New York City (NYC). Search hundreds of airlines for the 
cheapest tickets to New York City, New York!",https://www.cheapoair.com/flights/cheap-flights-to-new-york-city-nyc-new-york,8
flights to new york city,Flights to New York City : Plane Tickets & Cheap Airfare to NYC : Delta,"Take a bite out of the Big Apple with Delta flights to New York City. Take in plenty 
of tours, see a Broadway show or wander in Times Square.",https://www.delta.com/us/en/flight-deals/united-states-flights/flights-to-new-york-city,9
flights to new york city,"Flights to New York City, Vacation Packages & Deals | JetBlue","Headed to New York City? JetBlue offers the best flight deals, vacation packages 
(hotel & flight), and things to do. Book direct today!",https://www.jetblue.com/destinations/new-york-city-flights,10
flights to shenzhen,Cheap Flights to Shenzhen (SZX) from $567 - KAYAK,"Find flights to Shenzhen on China Eastern, Austrian Airlines, Delta and more. Fly 
round-trip from Los Angeles from $567, from Denver from $686, from New York ...",https://www.kayak.com/flight-routes/United-States-US0/Shenzhen-SZX,1
flights to shenzhen,"$158 Flights to Shenzhen, China (SZX) - Tripadvisor","Book Cheap Flights to Shenzhen: Search and compare airfares on Tripadvisor to 
find the best flights for your trip to Shenzhen. Choose the best airline for you by ...",https://www.tripadvisor.com/Flights-g297415-Shenzhen_Guangdong-Cheap_Discount_Airfares.html,2
flights to shenzhen,"Cheap Flights to Shenzhen, Guangdong $476 in 2020 | Expedia","We have flights as affordable as $315 for one-way & $476 for round trip, and you 
can save even more when you add one of our Shenzhen hotels to your flight in a
 ...",https://www.expedia.com/Cheap-Flights-To-Shenzhen.d6046792.Travel-Guide-Flights,3
flights to shenzhen,"Airlines That Fly to Shenzhen Bao'an International, SZX | Skyscanner","Find airlines with flights to Shenzhen Bao'an International Airport, SZX. Compare 
all major airlines & travel agents to get the cheapest airfare to Shenzhen ...",https://www.skyscanner.com/flights-to/szx/airlines-that-fly-to-shenzhen-baoan-international-airport.html,4
flights to shenzhen,"Cheap Flights to Shenzhen, China - Search Deals on Airfare to ...","Find cheap flights to Shenzhen from $1012. Search and compare the best real-
time prices for your round-trip, one-way, or last-minute flight to New York.",https://www.cheapflights.com/flights-to-shenzhen/,5
flights to shenzhen,Direct flights from Shenzhen (SZX),"This direct flight takes around 12 hours and 55 minutes and is operated by Air 
China. Airlines flying from Shenzhen. In total there are 44 airlines flying from and 
to ...",https://www.flightconnections.com/flights-from-shenzhen-szx,6
flights to shenzhen,"Direct (non-stop) flights from Shenzhen, Baoan (SZX) - FlightsFrom ...","The aircraft types with most scheduled flights are the Airbus A31X/32X and the 
Boeing 737. Longest flight. The route with the longest flighttime from Shenzhen (
 ...",https://www.flightsfrom.com/SZX,7
flights to shenzhen,Cheap Flights to Shenzhen from $109 round trip (SZX) - FareCompare,"Search and compare airfares to Shenzhen, CN at FareCompare and get the best 
price every time you fly. Signup for email alerts and be the first to know when ...",https://www.farecompare.com/flights/Shenzhen-SZX/city.html,8
flights to shenzhen,Cheap Flights to Shenzhen (SZX) from $323 | momondo,"From most locations, to find the best deals on airfare, our data shows that users 
booking 42 days before flying found the cheapest flight to Shenzhen.",https://www.momondo.com/flights/shenzhen,9
flights to shenzhen,Cheap Flights to Shenzhen Bao'an International Airport (SZX) from ...,"It offers more connections to domestic Chinese destinations than Hong Kong 
International. Airlines that fly to Shenzhen. No airlines currently fly direct to 
Shenzhen ...",https://www.skyscanner.net/flights-to/szx/cheap-flights-to-shenzhen-bao-an-international-airport.html,10
flights to kuala lumpur,$502 Cheap Flights to Kuala Lumpur in 2020 | Skyscanner,"Looking for cheap flights to Kuala Lumpur? Compare prices from hundreds of 
major airlines Delta, United, American, etc. & travel agencies for cheap Kuala ...",https://www.skyscanner.com/flights-to/kulm/cheap-flights-to-kuala-lumpur.html,1
flights to kuala lumpur,Cheap Flights to Kuala Lumpur Airport (KUL) from $577 - KAYAK,"Find flights to Kuala Lumpur on Korean Air, Etihad Airways, Philippine Airlines 
and more. Fly round-trip from Los Angeles from $577, from New York from $603,
 ...",https://www.kayak.com/flight-routes/United-States-US0/Kuala-Lumpur-Intl-KUL,2
flights to kuala lumpur,"Cheap Flights to Kuala Lumpur, Selangor (KUL Airport) $523 in ...","Looking for cheap flights to Kuala Lumpur from airlines such as American Airlines
, Delta, United, JetBlue, Frontier, and more? Compare prices on Expedia to get ...",https://www.expedia.com/Cheap-Flights-To-Kuala-Lumpur.d180008.Travel-Guide-Flights,3
flights to kuala lumpur,"$41 Flights to Kuala Lumpur, Malaysia (KUL) - Tripadvisor","Book Cheap Flights to Kuala Lumpur: Search and compare airfares on 
Tripadvisor to find the best flights for your trip to Kuala Lumpur. Choose the best 
airline for ...",https://www.tripadvisor.com/Flights-g298570-Kuala_Lumpur_Wilayah_Persekutuan-Cheap_Discount_Airfares.html,4
flights to kuala lumpur,"Cheap Flights to Kuala Lumpur, Malaysia - Search Deals on Airfare ...","Looking for cheap flights to Kuala Lumpur, Malaysia from your destination? 
Search for airfare and flight ticket deals at cheapflights.com and book your next 
flight ...",https://www.cheapflights.com/flights-to-kuala-lumpur/,5
flights to kuala lumpur,Cheap Flights to Kuala Lumpur from £331 Return in 2020 ...,"Cool KL. Often used as a transit to other destinations, book a flight to Kuala 
Lumpur and don't miss out on the excitement the Malaysian capital offers. A 
modern ...",https://www.skyscanner.net/flights-to/kulm/cheap-flights-to-kuala-lumpur.html,6
flights to kuala lumpur,Flights to Kuala Lumpur - Get United's Best Fares Today - United ...,"Fly to Kuala Lumpur with United Airlines from over 200 airports within the United 
States and an additional 100 airports internationally.",https://www.united.com/en-us/flights-to-kuala-lumpur,7
flights to kuala lumpur,Cheap Flights to Kuala Lumpur Airport (KUL) from £236 - KAYAK,"Find flights to Kuala Lumpur on Multiple Airlines, Finnair, Malaysia Airlines and 
more. Fly from London from £236, from Manchester from £303. Search for Kuala
 ...",https://www.kayak.co.uk/flight-routes/United-Kingdom-GB0/Kuala-Lumpur-Intl-KUL,8
flights to kuala lumpur,Cheap Flights to Kuala Lumpur From $76 | Skyscanner Singapore,"Find cheap Singapore to Kuala Lumpur flights from top airlines like Scoot, 
Singapore Airlines, AirAsia & more! ✅ Book Singapore to KL flights today.",https://www.skyscanner.com.sg/flights-to/kulm/cheap-flights-to-kuala-lumpur.html,9
flights to kuala lumpur,Cheap Flights to Kuala Lumpur | AirAsia,"Cheap Kuala Lumpur Flight Deals You Can't Afford to Miss. Let your creativity 
loose and immerse yourself in the culture of Malaysia with a flight booking to 
Kuala ...",https://www.airasia.com/flights/kuala-lumpur-selangor,10
flights to phuket,"$55 Flights to Phuket, Thailand (HKT) - Tripadvisor","Book Cheap Flights to Phuket: Search and compare airfares on Tripadvisor to 
find the best flights for your trip to Phuket. Choose the best airline for you by ...",https://www.tripadvisor.com/Flights-g293920-Phuket-Cheap_Discount_Airfares.html,1
flights to phuket,"Cheap Flights to Phuket, Phuket (HKT Airport) $500 in 2020 | Expedia","Expedia.com lets you search across the largest number of airlines and Phuket 
flights, which means that you'll be able to find a great flight deal at the perfect 
travel ...",https://www.expedia.com/Cheap-Flights-To-Phuket.d6046393.Travel-Guide-Flights,2
flights to phuket,$473 Cheap Flights to Phuket in 2020 | Skyscanner,"Find cheap flights to Phuket (HKT) in 2019 using Skyscanner's flight comparison 
tool. We compare all major airlines and travel agents for flights to Phuket with ...",https://www.skyscanner.com/flights-to/hkt/cheap-flights-to-phuket-airport.html,3
